Lattice parameter (Å) for Au,Potential energy (eV) for Au,Lattice parameter linspace (Å) for Au,Fitted energy (eV) curve for Au,Lattice parameter (Å) for min E_pot for  Au,Minimum E_pot (eV) for Au
,,4.1453999999999995,-3.1418851606244687,,
,,4.145499999999999,-3.1419123359266052,,
,,4.145599999999999,-3.1419394251249457,,
,,4.1457,-3.14196642821949,,
,,4.1457999999999995,-3.141993345210224,,
,,4.145899999999999,-3.142020176097162,,
,,4.145999999999999,-3.142046920880304,,
,,4.1461,-3.1420735795596357,,
,,4.146199999999999,-3.1421001521351855,,
,,4.146299999999999,-3.1421266386069107,,
,,4.146399999999999,-3.142153038974854,,
,,4.1465,-3.142179353238987,,
,,4.146599999999999,-3.142205581399338,,
,,4.146699999999999,-3.142231723455879,,
,,4.146799999999999,-3.1422577794086237,,
,,4.1469,-3.1422837492575724,,
,,4.146999999999999,-3.142309633002725,,
,,4.147099999999999,-3.142335430644067,,
,,4.1472,-3.1423611421816133,,
,,4.1472999999999995,-3.1423867676153634,,
,,4.147399999999999,-3.142412306945303,,
,,4.147499999999999,-3.142437760171447,,
,,4.1476,-3.1424631272937944,,
,,4.1476999999999995,-3.142488408312346,,
,,4.147799999999999,-3.1425136032271013,,
,,4.147899999999999,-3.1425387120380464,,
,,4.148,-3.1425637347452096,,
,,4.1480999999999995,-3.1425886713485625,,
,,4.148199999999999,-3.1426135218481193,,
,,4.148299999999999,-3.1426382862438658,,
,,4.1484,-3.1426629645358304,,
,,4.148499999999999,-3.1426875567239847,,
,,4.148599999999999,-3.1427120628083287,,
,,4.148699999999999,-3.142736482788891,,
,,4.1488,-3.1427608166656427,,
,,4.148899999999999,-3.1427850644385984,,
,,4.148999999999999,-3.142809226107758,,
,,4.149099999999999,-3.1428333016731216,,
,,4.1491999999999996,-3.142857291134689,,
,,4.149299999999999,-3.142881194492446,,
,,4.149399999999999,-3.1429050117464072,,
,,4.1495,-3.142928742896572,,
,,4.1495999999999995,-3.142952387942941,,
,,4.149699999999999,-3.1429759468854996,,
,,4.149799999999999,-3.142999419724262,,
,,4.1499,-3.1430228064592285,,
,,4.1499999999999995,-3.1430461070903988,,
,,4.150099999999999,-3.1430693216177588,,
,,4.150199999999999,-3.1430924500413226,,
,,4.1503,-3.1431154923611047,,
,,4.150399999999999,-3.1431384485770764,,
,,4.150499999999999,-3.1431613186892378,,
,,4.150599999999999,-3.1431841026976173,,
,,4.1507,-3.1432068006021865,,
,,4.150799999999999,-3.1432294124029596,,
,,4.150899999999999,-3.1432519380999224,,
,,4.150999999999999,-3.143274377693089,,
,,4.1511,-3.143296731182474,,
,,4.151199999999999,-3.1433189985680485,,
,,4.151299999999999,-3.1433411798498128,,
,,4.151399999999999,-3.143363275027795,,
,,4.1514999999999995,-3.1433852841019814,,
,,4.151599999999999,-3.1434072070723573,,
,,4.151699999999999,-3.143429043938937,,
,,4.151799999999999,-3.1434507947017067,,
,,4.1518999999999995,-3.1434724593606944,,
,,4.151999999999999,-3.1434940379158576,,
,,4.152099999999999,-3.143515530367239,,
,,4.1522,-3.143536936714824,,
,,4.152299999999999,-3.143558256958613,,
,,4.152399999999999,-3.143579491098592,,
,,4.152499999999999,-3.1436006391347746,,
,,4.1526,-3.143621701067161,,
,,4.152699999999999,-3.1436426768957517,,
,,4.152799999999999,-3.143663566620532,,
,,4.152899999999999,-3.1436843702415302,,
,,4.153,-3.1437050877587183,,
,,4.153099999999999,-3.14372571917211,,
,,4.153199999999999,-3.1437462644816776,,
,,4.153299999999999,-3.143766723687463,,
,,4.1533999999999995,-3.1437870967894668,,
,,4.153499999999999,-3.14380738378766,,
,,4.153599999999999,-3.143827584682043,,
,,4.153699999999999,-3.1438476994726443,,
,,4.1537999999999995,-3.143867728159435,,
,,4.153899999999999,-3.14388767074243,,
,,4.153999999999999,-3.1439075272216286,,
,,4.154099999999999,-3.143927297597017,,
,,4.1541999999999994,-3.1439469818686234,,
,,4.154299999999999,-3.1439665800364054,,
,,4.154399999999999,-3.1439860921004055,,
,,4.154499999999999,-3.1440055180605953,,
,,4.154599999999999,-3.144024857917003,,
,,4.154699999999999,-3.1440441116696007,,
,,4.154799999999999,-3.1440632793184022,,
,,4.1549,-3.1440823608634076,,
,,4.154999999999999,-3.1441013563046027,,
,,4.155099999999999,-3.1441202656420018,,
,,4.155199999999999,-3.1441390888756047,,
,,4.1552999999999995,-3.1441578260054115,,
,,4.155399999999999,-3.1441764770314222,,
,,4.155499999999999,-3.1441950419536084,,
,,4.155599999999999,-3.1442135207720128,,
,,4.1556999999999995,-3.144231913486621,,
,,4.155799999999999,-3.144250220097433,,
,,4.155899999999999,-3.144268440604449,,
,,4.155999999999999,-3.144286575007655,,
,,4.1560999999999995,-3.1443046233070646,,
,,4.156199999999999,-3.144322585502678,,
,,4.156299999999999,-3.1443404615944814,,
,,4.156399999999999,-3.144358251582503,,
,,4.156499999999999,-3.144375955466714,,
,,4.156599999999999,-3.1443935732471147,,
,,4.156699999999999,-3.1444111049237193,,
,,4.156799999999999,-3.144428550496542,,
,,4.156899999999999,-3.1444459099655546,,
,,4.156999999999999,-3.144463183330771,,
,,4.157099999999999,-3.1444803705921913,,
,,4.1572,-3.1444974717498155,,
,,4.157299999999999,-3.1445144868036294,,
,,4.157399999999999,-3.1445314157536473,,
,,4.157499999999999,-3.144548258599869,,
,,4.1575999999999995,-3.1445650153422946,,
,,4.157699999999999,-3.14458168598091,,
,,4.157799999999999,-3.144598270515715,,
,,4.157899999999999,-3.144614768946738,,
,,4.1579999999999995,-3.144631181273965,,
,,4.158099999999999,-3.144647507497396,,
,,4.158199999999999,-3.1446637476170167,,
,,4.158299999999999,-3.1446799016328413,,
,,4.158399999999999,-3.1446959695448697,,
,,4.158499999999999,-3.144711951353088,,
,,4.158599999999999,-3.144727847057524,,
,,4.158699999999999,-3.14474365665815,,
,,4.158799999999999,-3.14475938015498,,
,,4.158899999999999,-3.1447750175479996,,
,,4.158999999999999,-3.144790568837223,,
,,4.159099999999999,-3.1448060340226505,,
,,4.159199999999999,-3.144821413104296,,
,,4.159299999999999,-3.144836706082117,,
,,4.159399999999999,-3.144851912956156,,
,,4.1594999999999995,-3.144867033726385,,
,,4.159599999999999,-3.144882068392832,,
,,4.159699999999999,-3.144897016955454,,
,,4.159799999999999,-3.1449118794142947,,
,,4.1598999999999995,-3.144926655769339,,
,,4.159999999999999,-3.1449413460205733,,
,,4.160099999999999,-3.144955950167997,,
,,4.160199999999999,-3.144970468211639,,
,,4.160299999999999,-3.1449849001514707,,
,,4.160399999999999,-3.1449992459875205,,
,,4.160499999999999,-3.14501350571976,,
,,4.160599999999999,-3.1450276793482033,,
,,4.160699999999999,-3.1450417668728363,,
,,4.160799999999999,-3.1450557682936875,,
,,4.160899999999999,-3.1450696836107284,,
,,4.160999999999999,-3.145083512823973,,
,,4.161099999999999,-3.145097255933422,,
,,4.161199999999999,-3.145110912939046,,
,,4.161299999999999,-3.1451244838409025,,
,,4.161399999999999,-3.1451379686389487,,
,,4.161499999999999,-3.1451513673331988,,
,,4.161599999999999,-3.1451646799236386,,
,,4.161699999999999,-3.1451779064102965,,
,,4.161799999999999,-3.145191046793144,,
,,4.161899999999999,-3.1452041010721956,,
,,4.161999999999999,-3.145217069247451,,
,,4.162099999999999,-3.145229951318896,,
,,4.1621999999999995,-3.145242747286545,,
,,4.162299999999999,-3.1452554571504123,,
,,4.162399999999999,-3.1452680809104407,,
,,4.162499999999999,-3.1452806185667015,,
,,4.162599999999999,-3.145293070119152,,
,,4.162699999999999,-3.1453054355678063,,
,,4.162799999999999,-3.1453177149126645,,
,,4.162899999999999,-3.1453299081537267,,
,,4.162999999999999,-3.1453420152909928,,
,,4.163099999999999,-3.1453540363244485,,
,,4.163199999999999,-3.145365971254108,,
,,4.163299999999999,-3.145377820079972,,
,,4.163399999999999,-3.145389582802025,,
,,4.163499999999999,-3.1454012594202823,,
,,4.163599999999999,-3.1454128499347433,,
,,4.163699999999999,-3.1454243543454083,,
,,4.163799999999999,-3.145435772652263,,
,,4.163899999999999,-3.145447104855336,,
,,4.163999999999999,-3.1454583509545984,,
,,4.164099999999999,-3.1454695109500648,,
,,4.164199999999999,-3.145480584841735,,
,,4.164299999999999,-3.145491572629595,,
,,4.164399999999999,-3.1455024743136732,,
,,4.1644999999999985,-3.145513289893941,,
,,4.164599999999999,-3.1455240193703986,,
,,4.164699999999999,-3.14553466274306,,
,,4.164799999999999,-3.1455452200119396,,
,,4.164899999999999,-3.145555691177009,,
,,4.164999999999999,-3.145566076238282,,
,,4.165099999999999,-3.145576375195759,,
,,4.165199999999999,-3.145586588049426,,
,,4.165299999999999,-3.1455967147993107,,
,,4.165399999999999,-3.1456067554453853,,
,,4.165499999999999,-3.1456167099876637,,
