Lattice parameter (Å) for Au, Potential energy (eV) for Au, Lattice parameter linspace (Å) for Au, Fitted energy (eV) curve for Au
, , 4.2036, -3.144271741591851
, , 4.204000000000001, -3.1442491451887236
, , 4.204400000000001, -3.1442253099537822
, , 4.2048000000000005, -3.1442002358869985
, , 4.2052000000000005, -3.1441739229883723
, , 4.2056000000000004, -3.144146371257918
, , 4.206, -3.144117580695621
, , 4.2064, -3.144087551301496
, , 4.2068, -3.1440562830755425
, , 4.2072, -3.1440237760177325
, , 4.2076, -3.1439900301280943
, , 4.208, -3.143955045406628
, , 4.2084, -3.143918821853319
, , 4.2088, -3.1438813594681676
, , 4.2092, -3.1438426582512022
, , 4.2096, -3.14380271820238
, , 4.21, -3.14376153932173
, , 4.2104, -3.1437191216092373
, , 4.2108, -3.1436754650649164
, , 4.2112, -3.143630569688753
, , 4.2116, -3.1435844354807756
, , 4.212, -3.1435370624409416
, , 4.212400000000001, -3.143488450569265
, , 4.2128000000000005, -3.1434385998657604
, , 4.2132000000000005, -3.1433875103304274
, , 4.2136000000000005, -3.143335181963252
, , 4.214, -3.1432816147642484
, , 4.2144, -3.1432268087334023
, , 4.2148, -3.143170763870714
, , 4.2152, -3.143113480176197
, , 4.2156, -3.143054957649838
, , 4.216, -3.1429951962916505
, , 4.2164, -3.142934196101635
, , 4.2168, -3.1428719570797767
, , 4.2172, -3.142808479226076
, , 4.2176, -3.1427437625405474
, , 4.218, -3.1426778070231762
, , 4.2184, -3.142610612673977
, , 4.2188, -3.142542179492935
, , 4.2192, -3.142472507480065
, , 4.2196, -3.1424015966353522
, , 4.220000000000001, -3.1423294469587972
, , 4.220400000000001, -3.142256058450414
, , 4.2208000000000006, -3.1421814311102025
, , 4.2212000000000005, -3.1421055649381486
, , 4.2216000000000005, -3.1420284599342523
, , 4.222, -3.1419501160985277
, , 4.2224, -3.1418705334309607
, , 4.2228, -3.1417897119315654
, , 4.2232, -3.141707651600342
, , 4.2236, -3.141624352437262
, , 4.224, -3.1415398144423534
, , 4.2244, -3.141454037615617
, , 4.2248, -3.1413670219570378
, , 4.2252, -3.1412787674666163
, , 4.2256, -3.1411892741443808
, , 4.226, -3.141098541990303
, , 4.2264, -3.141006571004368
, , 4.2268, -3.1409133611866196
, , 4.2272, -3.1408189125370143
, , 4.2276, -3.140723225055595
, , 4.228, -3.1406262987423332
, , 4.228400000000001, -3.140528133597229
, , 4.228800000000001, -3.1404287296202966
, , 4.2292000000000005, -3.1403280868115218
