 id|age|user  |formula|calculator  |energy|natoms| fmax|pbc|  volume|charge|   mass| smax|magmom|gaid|raw_score|mutation|simulation_cell|extinct|origin                    |generation|relaxed|pairing|description
152|14h|liljav|Na6    |gpaw        |-4.890|     6|0.012|FFF|4096.000| 0.000|137.939|     | 0.000| 150|    4.890|        |               |      0|RattleMutation            |         0|      1|       |           
 37|15h|liljav|Na6    |gpaw        |-4.890|     6|0.015|FFF|4096.000| 0.000|137.939|     | 0.000|  17|    4.890|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 40|15h|liljav|Na6    |gpaw        |-4.890|     6|0.017|FFF|4096.000| 0.000|137.939|     | 0.000|  20|    4.890|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 39|15h|liljav|Na6    |gpaw        |-4.890|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000|  19|    4.890|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 30|16h|liljav|Na6    |gpaw        |-4.890|     6|0.013|FFF|4096.000| 0.000|137.939|     | 0.000|  10|    4.890|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 33|15h|liljav|Na6    |gpaw        |-4.890|     6|0.016|FFF|4096.000| 0.000|137.939|     | 0.000|  13|    4.890|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
122|14h|liljav|Na6    |gpaw        |-4.890|     6|0.014|FFF|4096.000| 0.000|137.939|     | 0.000| 120|    4.890|        |               |      0|RattleMutation            |         0|      1|       |           
 32|16h|liljav|Na6    |gpaw        |-4.890|     6|0.015|FFF|4096.000| 0.000|137.939|     | 0.000|  12|    4.890|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 24|16h|liljav|Na6    |gpaw        |-4.890|     6|0.014|FFF|4096.000| 0.000|137.939|     | 0.000|   4|    4.890|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 36|15h|liljav|Na6    |gpaw        |-4.890|     6|0.017|FFF|4096.000| 0.000|137.939|     | 0.000|  16|    4.890|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 87|14h|liljav|Na6    |gpaw        |-4.890|     6|0.019|FFF|4096.000| 0.000|137.939|     | 0.000|  86|    4.890|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 70|15h|liljav|Na6    |gpaw        |-4.889|     6|0.013|FFF|4096.000| 0.000|137.939|     | 0.000|  68|    4.889|        |               |      0|RattleMutation            |         0|      1|       |           
 31|16h|liljav|Na6    |gpaw        |-4.889|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000|  11|    4.889|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 27|16h|liljav|Na6    |gpaw        |-4.889|     6|0.016|FFF|4096.000| 0.000|137.939|     | 0.000|   7|    4.889|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
170|13h|liljav|Na6    |gpaw        |-4.889|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000| 168|    4.889|        |               |      0|RattleMutation            |         0|      1|       |           
183|13h|liljav|Na6    |gpaw        |-4.889|     6|0.015|FFF|4096.000| 0.000|137.939|     | 0.000| 182|    4.889|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
145|14h|liljav|Na6    |gpaw        |-4.889|     6|0.016|FFF|4096.000| 0.000|137.939|     | 0.000| 144|    4.889|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
192|13h|liljav|Na6    |gpaw        |-4.889|     6|0.016|FFF|4096.000| 0.000|137.939|     | 0.000| 191|    4.889|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 22|16h|liljav|Na6    |gpaw        |-4.889|     6|0.011|FFF|4096.000| 0.000|137.939|     | 0.000|   2|    4.889|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
172|13h|liljav|Na6    |gpaw        |-4.889|     6|0.017|FFF|4096.000| 0.000|137.939|     | 0.000| 171|    4.889|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 35|15h|liljav|Na6    |gpaw        |-4.889|     6|0.016|FFF|4096.000| 0.000|137.939|     | 0.000|  15|    4.889|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
115|14h|liljav|Na6    |gpaw        |-4.889|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000| 113|    4.889|        |               |      0|RattleMutation            |         0|      1|       |           
