Radial distance r (a.u.), Calculated helium wavefunction
1.115, 0.18466982391927161
1.12, 0.18326876352345028
1.125, 0.18187950274442294
1.1300000000000001, 0.18050192923674677
1.135, 0.17913593186534887
1.1400000000000001, 0.17778140069118376
1.145, 0.1764382269570619
1.1500000000000001, 0.1751063030736508
1.155, 0.17378552260565153
1.16, 0.17247578025813617
1.165, 0.17117697186305944
1.17, 0.1698889943659377
1.175, 0.16861174581267838
1.18, 0.16734512533658435
1.185, 0.16608903314551807
1.19, 0.16484337050921266
1.195, 0.1636080397467498
1.2, 0.16238294421419022
1.205, 0.1611679882923523
1.21, 0.159963077374752
1.215, 0.15876811785567702
1.22, 0.1575830171184264
1.225, 0.1564076835236794
1.23, 0.155242026398023
1.235, 0.1540859560226093
1.24, 0.1529393836219652
1.245, 0.15180222135293558
1.25, 0.15067438229376173
1.2550000000000001, 0.1495557804333014
1.26, 0.14844633066038
1.2650000000000001, 0.14734594875327553
1.27, 0.14625455136933188
1.2750000000000001, 0.1451720560347088
1.28, 0.14409838113424908
1.285, 0.14303344590148467
1.29, 0.14197717040875618
1.295, 0.14092947555746177
1.3, 0.13989028306842782
1.305, 0.13885951547239914
1.31, 0.13783709610064604
1.315, 0.13682294907569084
1.32, 0.13581699930215116
1.325, 0.13481917245769534
1.33, 0.13382939498410923
1.335, 0.13284759407848393
1.34, 0.13187369768449833
1.345, 0.13090763448382767
1.35, 0.12994933388764163
1.355, 0.12899872602822618
1.36, 0.12805574175069687
1.365, 0.1271203126048209
1.37, 0.12619237083694318
1.375, 0.1252718493820067
1.3800000000000001, 0.12435868185567878
1.385, 0.12345280254657395
1.3900000000000001, 0.12255414640857162
1.395, 0.12166264905322965
1.4000000000000001, 0.12077824674229597
1.405, 0.11990087638031056
1.41, 0.11903047550729814
1.415, 0.11816698229155514
1.42, 0.11731033552252684
1.425, 0.11646047460376617
1.43, 0.11561733954599007
1.435, 0.11478087096021394
1.44, 0.11395101005097502
1.445, 0.11312769860963957
1.45, 0.11231087900779223
1.455, 0.11150049419070741
1.46, 0.11069648767090294
1.465, 0.10989880352177119
1.47, 0.10910738637129154
1.475, 0.10832218139581784
1.48, 0.10754313431394358
1.485, 0.10677019138044475
1.49, 0.10600329938029568
1.495, 0.10524240562275898
1.5, 0.10448745793554691
1.5050000000000001, 0.10373840465905643
1.51, 0.10299519464067482
1.5150000000000001, 0.10225777722915634
1.52, 0.10152610226906504
1.5250000000000001, 0.10080012009528863
1.53, 0.10007978152761715
1.5350000000000001, 0.09936503786539096
1.54, 0.09865584088221267
1.545, 0.09795214282072195
1.55, 0.09725389638743885
1.555, 0.0965610547476675
1.56, 0.09587357152045896
1.565, 0.09519140077363993
1.57, 0.09451449701890162
1.575, 0.09384281520694703
1.58, 0.0931763107226966
1.585, 0.0925149393805536
1.59, 0.09185865741972757
1.595, 0.09120742149961074
1.6, 0.09056118869521729
1.605, 0.08991991649266919
1.61, 0.08928356278474546
1.615, 0.08865208586647745
1.62, 0.0880254444308029
1.625, 0.08740359756427021
1.6300000000000001, 0.08678650474279323
1.635, 0.08617412582745897
1.6400000000000001, 0.0855664210603868
1.645, 0.08496335106063592
1.6500000000000001, 0.08436487682015693
1.655, 0.08377095969980453
1.6600000000000001, 0.08318156142538465
1.665, 0.08259664408375757
1.67, 0.08201617011898335
1.675, 0.08144010232851386
1.68, 0.0808684038594336
1.685, 0.08030103820474065
1.69, 0.07973796919967435
1.695, 0.07917916101808599
1.7, 0.07862457816885385
1.705, 0.07807418549233873
1.71, 0.07752794815688323
1.715, 0.07698583165535072
1.72, 0.07644780180170761
1.725, 0.07591382472764557
1.73, 0.07538386687923916
1.735, 0.07485789501365041
1.74, 0.07433587619586486
1.745, 0.07381777779547237
1.75, 0.07330356748348227
1.7550000000000001, 0.07279321322917323
1.76, 0.07228668329698815
1.7650000000000001, 0.07178394624345583
1.77, 0.07128497091415713
1.7750000000000001, 0.0707897264407194
1.78, 0.07029818223785228
1.7850000000000001, 0.06981030800041253
1.79, 0.06932607370050797
