       Step     Time          Energy         fmax
GPMin:    0 17:39:30       -3.170756        1.3473
GPMin:    1 17:39:36       -4.011559        0.6011
GPMin:    2 17:39:42       -4.288838        0.2560
GPMin:    3 17:39:48       -4.354689        0.0970
GPMin:    4 17:39:52       -4.364193        0.1256
GPMin:    5 17:39:57       -4.377411        0.1074
GPMin:    6 17:40:03       -4.392973        0.1260
GPMin:    7 17:40:08       -4.416188        0.0946
GPMin:    8 17:40:13       -4.426263        0.0712
GPMin:    9 17:40:18       -4.431701        0.0585
GPMin:   10 17:40:36       -4.438055        0.1472
GPMin:   11 17:41:02       -4.439561        0.0881
GPMin:   12 17:41:35       -4.444338        0.0738
GPMin:   13 17:42:44       -4.446224        0.0698
GPMin:   14 17:43:04       -4.451869        0.0977
GPMin:   15 17:43:12       -4.536149        0.1856
GPMin:   16 17:43:18       -4.587545        0.2277
GPMin:   17 17:43:24       -4.622205        0.2358
GPMin:   18 17:43:30       -4.667481        0.2016
GPMin:   19 17:43:36       -4.709824        0.1670
GPMin:   20 17:43:42       -4.754287        0.1322
GPMin:   21 17:43:48       -4.782516        0.1183
GPMin:   22 17:43:53       -4.807656        0.1055
GPMin:   23 17:43:58       -4.825167        0.0954
GPMin:   24 17:44:03       -4.840110        0.0828
GPMin:   25 17:44:08       -4.853646        0.0737
GPMin:   26 17:44:13       -4.866819        0.0604
GPMin:   27 17:44:18       -4.876126        0.0457
GPMin:   28 17:44:23       -4.881822        0.0334
GPMin:   29 17:44:28       -4.885622        0.0319
GPMin:   30 17:44:33       -4.888237        0.0230
GPMin:   31 17:44:37       -4.888861        0.0158
       Step     Time          Energy         fmax
GPMin:    0 17:44:46       -3.173188        1.3459
GPMin:    1 17:44:52       -4.013513        0.6010
GPMin:    2 17:44:57       -4.290829        0.2547
GPMin:    3 17:45:03       -4.356291        0.0982
GPMin:    4 17:45:08       -4.365616        0.1248
GPMin:    5 17:45:13       -4.378822        0.1064
GPMin:    6 17:45:32       -4.402241        0.1090
GPMin:    7 17:45:45       -4.408301        0.1045
GPMin:    8 17:46:03       -4.425802        0.0791
GPMin:    9 17:46:08       -4.431765        0.0920
GPMin:   10 17:46:14       -4.461732        0.1100
GPMin:   11 17:46:19       -4.472908        0.1087
GPMin:   12 17:46:24       -4.477304        0.1087
GPMin:   13 17:46:30       -4.544014        0.1913
GPMin:   14 17:46:36       -4.574205        0.2008
GPMin:   15 17:46:41       -4.600934        0.2006
GPMin:   16 17:46:47       -4.634404        0.1944
GPMin:   17 17:46:53       -4.686330        0.1706
GPMin:   18 17:46:58       -4.705001        0.1610
GPMin:   19 17:47:05       -4.778654        0.2179
GPMin:   20 17:47:18       -4.792153        0.2443
GPMin:   21 17:47:24       -4.841858        0.0742
GPMin:   22 17:47:29       -4.846382        0.0745
GPMin:   23 17:47:33       -4.857196        0.0650
GPMin:   24 17:47:38       -4.868831        0.0518
GPMin:   25 17:47:43       -4.874832        0.0490
GPMin:   26 17:47:48       -4.880456        0.0474
GPMin:   27 17:47:52       -4.884205        0.0308
GPMin:   28 17:47:57       -4.886882        0.0262
GPMin:   29 17:48:01       -4.888428        0.0267
