      Step     Time          Energy         fmax
BFGS:    8 15:46:41       -4.054356        0.4204
BFGS:    9 15:46:41       -4.091058        0.5047
BFGS:   10 15:46:41       -4.149474        0.6301
BFGS:   11 15:46:41       -4.185873        0.6965
BFGS:   12 15:46:41       -4.229047        0.6837
BFGS:   13 15:46:41       -4.299410        0.8647
BFGS:   14 15:46:41       -4.352448        0.9319
BFGS:   15 15:46:41       -4.532905        0.9680
BFGS:   16 15:46:41       -4.634113        1.5654
BFGS:   17 15:46:41       -4.687857        0.8853
BFGS:   18 15:46:41       -4.796577        0.9222
BFGS:   19 15:46:41       -5.032308        1.0659
BFGS:   20 15:46:41       -4.850146        2.7201
BFGS:   21 15:46:41       -5.105654        0.8095
BFGS:   22 15:46:41       -5.127626        0.5330
BFGS:   23 15:46:41       -5.148576        0.4116
BFGS:   24 15:46:41       -5.166388        0.4285
BFGS:   25 15:46:41       -5.180992        0.3811
BFGS:   26 15:46:41       -5.203165        0.3761
BFGS:   27 15:46:41       -5.212322        0.4218
BFGS:   28 15:46:41       -5.230650        0.4699
BFGS:   29 15:46:41       -5.257126        0.5937
BFGS:   30 15:46:41       -5.288592        0.9580
BFGS:   31 15:46:41       -5.341533        1.3197
BFGS:   32 15:46:41       -5.420948        1.2865
BFGS:   33 15:46:41       -5.456723        1.1164
BFGS:   34 15:46:41       -5.557013        0.8834
BFGS:   35 15:46:41       -5.636513        0.7170
BFGS:   36 15:46:41       -5.676912        0.7373
BFGS:   37 15:46:41       -5.706118        0.9289
BFGS:   38 15:46:41       -5.759764        0.9283
BFGS:   39 15:46:41       -5.863139        1.3545
BFGS:   40 15:46:41       -5.811202        1.2121
BFGS:   41 15:46:41       -6.026569        0.9567
BFGS:   42 15:46:41       -6.105690        0.8518
BFGS:   43 15:46:41       -6.201836        0.8653
BFGS:   44 15:46:41       -6.243767        0.6491
BFGS:   45 15:46:41       -6.276299        0.2957
BFGS:   46 15:46:41       -6.281463        0.2035
BFGS:   47 15:46:41       -6.286586        0.2226
BFGS:   48 15:46:41       -6.295216        0.2616
BFGS:   49 15:46:41       -6.304865        0.2546
BFGS:   50 15:46:41       -6.313333        0.2613
BFGS:   51 15:46:41       -6.319748        0.2194
BFGS:   52 15:46:41       -6.327932        0.2174
BFGS:   53 15:46:41       -6.337466        0.2610
BFGS:   54 15:46:41       -6.348107        0.3043
BFGS:   55 15:46:41       -6.366718        0.3897
BFGS:   56 15:46:41       -6.406981        0.6138
BFGS:   57 15:46:41       -5.804854        6.0452
BFGS:   58 15:46:41       -6.509616        1.1680
BFGS:   59 15:46:41       -6.464737        1.8441
BFGS:   60 15:46:41       -6.589650        0.7297
BFGS:   61 15:46:41       -6.620267        0.5956
BFGS:   62 15:46:41       -6.788194        0.4837
BFGS:   63 15:46:41       -6.840006        0.4873
BFGS:   64 15:46:41       -6.859844        0.5042
BFGS:   65 15:46:41       -6.890176        0.4921
BFGS:   66 15:46:41       -6.915333        0.4421
BFGS:   67 15:46:41       -6.951973        0.4471
BFGS:   68 15:46:41       -6.987397        0.5992
BFGS:   69 15:46:41       -7.012123        0.6049
BFGS:   70 15:46:41       -7.070620        0.3864
