       Step     Time          Energy         fmax
GPMin:   10 18:01:42       -7.050595        0.0982
GPMin:   11 18:01:49       -7.081034        0.1148
GPMin:   12 18:01:55       -7.108542        0.0684
GPMin:   13 18:02:02       -7.125841        0.0581
GPMin:   14 18:02:08       -7.136666        0.0419
GPMin:   15 18:02:15       -7.141837        0.0310
GPMin:   16 18:02:20       -7.143595        0.0255
GPMin:   17 18:02:27       -7.146203        0.0181
       Step     Time          Energy         fmax
GPMin:    0 18:02:39       -6.132110        0.6526
GPMin:    1 18:02:46       -6.410928        0.2494
GPMin:    2 18:02:54       -6.542395        0.1829
GPMin:    3 18:03:01       -6.617750        0.1836
GPMin:    4 18:03:08       -6.668293        0.1816
GPMin:    5 18:03:14       -6.727741        0.1620
GPMin:    6 18:03:20       -6.753923        0.1456
GPMin:    7 18:03:26       -6.796973        0.1035
GPMin:    8 18:03:32       -6.824016        0.0728
GPMin:    9 18:03:38       -6.833138        0.0410
GPMin:   10 18:03:44       -6.836863        0.0402
GPMin:   11 18:03:49       -6.841379        0.0223
GPMin:   12 18:03:55       -6.844293        0.0275
GPMin:   13 18:04:01       -6.847035        0.0230
GPMin:   14 18:04:06       -6.848675        0.0182
       Step     Time          Energy         fmax
GPMin:    0 18:04:17       -6.544823        0.2365
GPMin:    1 18:04:24       -6.728018        0.1791
GPMin:    2 18:04:31       -6.846111        0.1708
GPMin:    3 18:04:38       -6.941340        0.1523
GPMin:    4 18:04:45       -7.019435        0.1257
GPMin:    5 18:04:51       -7.077843        0.1061
GPMin:    6 18:04:58       -7.112237        0.0810
GPMin:    7 18:05:04       -7.128766        0.0494
GPMin:    8 18:05:10       -7.136953        0.0507
GPMin:    9 18:05:16       -7.146022        0.0536
GPMin:   10 18:05:21       -7.159504        0.0495
GPMin:   11 18:05:27       -7.174169        0.0448
GPMin:   12 18:05:32       -7.189431        0.0486
GPMin:   13 18:05:39       -7.208051        0.0484
GPMin:   14 18:05:45       -7.229371        0.0531
GPMin:   15 18:05:51       -7.251092        0.0537
GPMin:   16 18:05:56       -7.267194        0.0423
GPMin:   17 18:06:01       -7.276637        0.0261
GPMin:   18 18:06:06       -7.279591        0.0161
       Step     Time          Energy         fmax
GPMin:    0 18:06:21       -6.432914        0.2286
GPMin:    1 18:06:28       -6.577210        0.1697
GPMin:    2 18:06:35       -6.662247        0.1910
GPMin:    3 18:06:42       -6.736273        0.1910
GPMin:    4 18:06:49       -6.805128        0.1976
GPMin:    5 18:06:56       -6.868845        0.1877
GPMin:    6 18:07:03       -6.923115        0.1683
GPMin:    7 18:07:09       -6.966909        0.1365
GPMin:    8 18:07:16       -7.012704        0.1071
GPMin:    9 18:07:22       -7.048046        0.1065
GPMin:   10 18:07:28       -7.083962        0.0933
GPMin:   11 18:07:34       -7.117558        0.0546
GPMin:   12 18:07:41       -7.132132        0.0474
GPMin:   13 18:07:46       -7.138433        0.0445
GPMin:   14 18:07:52       -7.145930        0.0338
GPMin:   15 18:07:59       -7.151972        0.0368
GPMin:   16 18:08:04       -7.156828        0.0401
GPMin:   17 18:08:10       -7.163542        0.0528
GPMin:   18 18:08:16       -7.176740        0.0640
GPMin:   19 18:08:23       -7.198701        0.0675
GPMin:   20 18:08:29       -7.227915        0.0731
GPMin:   21 18:08:35       -7.254509        0.0665
GPMin:   22 18:08:42       -7.270720        0.0426
GPMin:   23 18:08:48       -7.275802        0.0304
GPMin:   24 18:08:54       -7.277146        0.0268
GPMin:   25 18:08:59       -7.278854        0.0240
GPMin:   26 18:09:05       -7.279669        0.0187
       Step     Time          Energy         fmax
GPMin:    0 18:09:19       -6.502549        0.7718
GPMin:    1 18:09:28       -6.774746        0.3159
GPMin:    2 18:09:36       -6.915112        0.2720
GPMin:    3 18:09:43       -7.033685        0.1781
GPMin:    4 18:09:50       -7.096599        0.1625
GPMin:    5 18:09:57       -7.146736        0.1344
GPMin:    6 18:10:03       -7.197022        0.1059
GPMin:    7 18:10:09       -7.231759        0.1074
GPMin:    8 18:10:15       -7.256062        0.0899
GPMin:    9 18:10:21       -7.270438        0.0471
GPMin:   10 18:10:26       -7.275674        0.0294
GPMin:   11 18:10:32       -7.277647        0.0238
GPMin:   12 18:10:37       -7.279437        0.0171
       Step     Time          Energy         fmax
GPMin:    0 18:10:51       -6.115745        0.4522
GPMin:    1 18:11:00       -6.347405        0.2530
GPMin:    2 18:11:08       -6.463247        0.2306
GPMin:    3 18:11:16       -6.577275        0.2532
